Symbol,HighFortyFive,LowFortyFive,AverageValue,ScripCode,high,low,close,Pivot,Bottom Central,Top Central,TradeType,TradingEnabled,Risk,TimeFrame,USE_TWENTY_MA,USE_TWO_HUNDRED_MA,CHECK_GAP_CONDITION,USE_CPR,USE_FORTYFIVE,USE_PREVIOUSDAY_HIGH_LOW,USE_BOSS,USE_MANAGER,USE_WORKER,TargetBossPercentage ,REWARD_MULTIPLIER_WORKER,REWARD_MULTIPLIER_MANAGER,WORKER_CANDLE_MUL,BOSS_CANDLE_MUL,MANAGER_CANDLE_MUL_DOWN,MANAGER_CANDLE_MUL_UP,NoOfCounterTrade,USE_PARTIAL_PROFIT,PartialProfitPercentage_qty_size,PartProfitMultipler,USE_CLOSING_CRITERIA_BOSS,ClosePercentage_BOSS,USE_TSL,StartTime,StopTime
LICI,1009.3,1000.35,10.46571429,9480,1016.35,991.95,1006.55,1004.95,1004.15,1005.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,295.85,293.3,3.131428571,13285,298.3,291.95,294.95,295.0666667,295.125,295.0083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANKIND,2346.65,2330,37.31,15380,2374.5,2295,2330,2333.166667,2334.75,2331.583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPHASIS,2523.85,2506.15,28.75428571,4503,2528.95,2476.5,2523.85,2509.766667,2502.725,2516.808333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,217.75,215.9,2.698571429,15332,220.7,212.95,217.3,216.9833333,216.825,217.1416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBEROIRLTY,1542.25,1534.05,17.22571429,20242,1544.7,1522.05,1535,1533.916667,1533.375,1534.458333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIDILITIND,3003.5,2993.5,27.63714286,2664,3024.5,2992.1,3003,3006.533333,3008.3,3004.766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEL,859.25,855,9.16,2412,869.75,855,858.5,861.0833333,862.375,859.7916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,695,693.1,4.518571429,17971,702.8,693.05,694.95,696.9333333,697.925,695.9416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBILIFE,1469.75,1461.8,13.77,21808,1475.05,1447,1465,1462.35,1461.025,1463.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2602.7,2583.6,20.51142857,3273,2637.5,2583.6,2600,2607.033333,2610.55,2603.516667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,120,119.35,1.137142857,4204,123.3,118.6,119.85,120.5833333,120.95,120.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNTV,621.8,617.65,6.661428571,13404,628,614.95,618,620.3166667,621.475,619.1583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,1122.25,1115.3,10.72,3432,1132.9,1108.55,1121.2,1120.883333,1120.725,1121.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,414.8,413.3,3.788571429,3426,419.85,410.7,414.2,414.9166667,415.275,414.5583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMCOCEM,844.25,838,7.151428571,2043,860.55,837,841.7,846.4166667,848.775,844.0583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPL,496.75,486.1,4.437142857,11287,496.75,473.1,496,488.6166667,484.925,492.3083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBL,1785.35,1774.15,15.50857143,16713,1812,1774.15,1781.55,1789.233333,1793.075,1785.391667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXIDEIND,320,318.65,3.391428571,676,323.95,315,319.95,319.6333333,319.475,319.7916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIACL,240.45,237.35,6.61,399,245.8,234.2,238.55,239.5166667,240,239.0333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELTACORP,124.3,123.8,1.71,15044,126.45,123.55,124,124.6666667,125,124.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEX,145.3,144.55,1.561428571,220,147.8,144.55,145.3,145.8833333,146.175,145.5916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALRAMCHIN,384.95,382.2,3.091428571,341,388.75,380.95,384.85,384.85,384.85,384.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
